Author,Art,Sale date,Price,Size,Style,Estimate,Provenance,Sign,Collection,Technique and performance material,Painted,Image
Francesco Guardi,"Venice, the Bacino di San Marco, with the Piazzetta and the Doge′s Palace",07.08.2014,"16,937,616",69.5 x 102.2 cm,Old Master & British Paintings Evening Sale,"GBP 8,000,000 - GBP 10,000,000","Purchased in Venice in 1782-4 by Anthony Ashley-Cooper, 5th Earl of Shaftesbury (1761-1811), and by inheritance at St. Giles’s House, Wimborne, Dorset, through his brother, 
Cropley Ashley-Cooper, 6th Earl of Shaftesbury (1768-1851), to his son, 
Anthony Ashley-Cooper, 7th Earl of Shaftesbury (1801-1885), recorded in ‘A Catalogue of Pictures in St. Giles’ House’, annotated Rec’d 6th January 1873 (Shaftesbury Mss, SG34/1) (‘Guardi Pair of Views in Venice’, initially valued at (£)200 and subsequently valued separately at 50 and 100), and in notes of the 1870s by the 7th Earl as in the Inner East Room (no. 5 ‘View in Venice/ by Guardi—bought at Venice by the 5th Earl—’ or no. 8 'View in Venice/ by Guardi—bought by 5th Earl.’) [we are indebted to the Earl of Shaftesbury and Richard Samways for these references]: a nineteenth-century inscription on the stretcher refers to the ‘Comte de Shaftesbury’.
(Possibly) baron Nathan-James-Edouard de Rothschild (1844-1881), to his daughter, 
Jeanne-Sophie-Henriette, baronne David Léonino (1874-1929), and by descent through her brother,
baron Henri-James-Charles-Nathan de Rothschild (1872-1947) to the present owner.
",-,-,"with a nineteenth-century inscription ‘De la collection du Comte de Shaftesbury’ (on the stretcher) and with inscription ‘Veduta della Palazzo Ducale di Francesco Guardi di Venezia’ (on the relining canvas, presumably transcribed from the reverse of the original canvas)  ",-,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01537_0019_000(francesco_guardi_venice_the_bacino_di_san_marco_with_the_piazzetta_and).jpg
Pablo Picasso,Homme à la pipeREPEAT SALE,11.06.2007,"16,841,000",130.1 x 89 cm,Impressionist and Modern Art Evening Sale,"USD 12,000,000 - USD 16,000,000","Galerie Louise Leiris, Paris.
Saidenberg Gallery, New York.
Jeanette R. Markus; Estate sale, Sotheby's, New York, 11 May 1987, lot 93.
Private collection, United States.
Acquired from the above by the present owner.
","
signed 'Picasso' (upper left); dated '7.11.68.' (on the reverse)
","
Private collection, United States.
",oil on canvas ,1968,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01900_0005_000().jpg
Francis Bacon,"Study from the Human Body, Man Turning on the Light ",10.14.2007,"16,465,701",198 x 147.3cm,Post War and Contemporary Art  Evening Sale,"GBP 7,000,000 - GBP 9,000,000","Marlborough Fine Art, London.
Given by the artist in lieu of rent to the present owners in 1975 (a replacement for another work). 
","
signed, titled and dated 'Study from The human body Man Turning on The light Francis Bacon 1973' (on the reverse)
",-,oil and acrylic on canvas ,1973,https://www.christies.com/img/LotImages/2007/CKS/2007_CKS_07425_0110_000().jpg
Roy Lichtenstein,Sunrise,11.12.2014,"16,405,000",91.7 x 173.6 cm,Post-War & Contemporary Art Evening Sale,"USD 12,000,000 - USD 18,000,000","Ileana Sonnabend, Paris 
Edward Power, London 
Acquavella Gallery, New York
Private collection, New York
Sonnabend Gallery, New York and Paris 
Phillis Goldman, New York
Jeffrey Deitch, New York
Private Collection, Japan, 1989 
L & M Arts, New York
Acquired from the above by the present owner","
signed and dated 'rf Lichtenstein 1965' (on the reverse)
","
Private collection, New York
","oil, Magna and graphite on canvas",1965,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0028_000(roy_lichtenstein_sunrise).jpg
Mark Rothko,No 9,05.14.2003,"16,359,500",266.7 x 421.6 cm,Post War and Contemporary Art (Evening Sale)                ,"USD 8,000,000 - USD 12,000,000","Sidney Janis Gallery, New York
William Rubin, New York, 1959
Joseph Slifka, New York, 1964
Ben Heller, New York, 1967
His sale; Sotheby's, New York, November 1983, lot 88
Shigeki Kameyama, Tokyo, 1983
Fukuoka City Bank, Ltd., Fukuoka 
","
signed 'MARK ROTHKO' (on the reverse) 
",-,oil on canvas ,1958,https://www.christies.com/img/LotImages/2003/NYR/2003_NYR_01232_0013_000().jpg
Juan Gris,Le livre,02.07.2012,"16,334,115",73 x 60 cm,Impressionist / Modern Evening Sale,"GBP 12,000,000 - GBP 18,000,000","D.H. Kahnweiler, Bern.
Galerie Simon, Paris (no. 5022).
Galerie Louise Leiris, Paris.
Svensk-Franska Konstgalleriet, Stockholm.
Acquired from the above in the 1950s by the family of the present owner. 
","
signed and dated 'Juan Gris 1915' (lower left) 
",-,oil on canvas ,1914,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_08049_0019_000(juan_gris_le_livre).jpg
Max Ernst,The stolen mirror,11.01.2011,"16,322,500",65 x 81 cm,Impressionist and Modern Evening Sale,"USD 4,000,000 - USD 6,000,000","Edward James, London (by 1951).
Jimmy Ernst, New Canaan, Connecticut.
Dallas Ernst, Sag Harbor, New York (by descent from the above, 1984).
By descent from the above to the present owners.
","
signed 'max ernst' (lower right); signed again, dated and inscribed 'max ernst 1941 product of France' (on the reverse)
",-,"signed 'max ernst' (lower right); signed again, dated and inscribed 'max ernst 1941 product of France' (on the reverse)",1941,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02477_0036_000(max_ernst_the_stolen_mirror).jpg
Andy Warhol,Orange MarilynREPEAT SALE,11.15.2006,"16,256,000",50 x 40.5 cm,Post War and Contemporary Art Evening Sale,"USD 10,000,000 - USD 15,000,000","Mr. and Mrs. Leo Castelli, New York
Gian Enzo Sperone, New York
Anon. sale; Sotheby's, London, 1 July 1976, lot 364
Anon. sale; Christie's New York, 19 November 1998, lot 356
Private Collection, Paris
Anon. sale; Christie's New York, 16 May 2001, lot 15
Acquired at the above sale by the present owner
","
signed and dated 'ANDY WARHOL/62' (on the reverse) 
","
Private Collection, Paris
",synthetic polymer and silkscreen inks on canvas ,1962,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01725_0032_000().jpg
Claude Monet,Dans la PrairieREPEAT SALE,02.04.2009,"16,044,636",60.3 x 82 cm,"Impressionist/Modern Art, Evening Sale",,"Théodore Duret, Paris, circa 1877; sale, Galerie Georges Petit, Paris, 19 March 1894, lot 28.
Edmond Simon, Paris, by whom acquired at the above sale.
Ch. L. de Hèle, Brussels; sale, Amsterdam, 13 June 1911, lot 11.
Bernheim-Jeune, Paris.
Galerie Durand-Ruel, Paris (no. 7053), by whom acquired from the above in June 1911.
Galerie Miethke, Vienna, by whom acquired from the above in January 1912.
Wildenstein & Cie., Paris.
David David-Weill, Paris, by whom acquired from the above circa 1938, and thence by descent.
Mme Citroën (daughter of the above), Paris, by 1970; sale, The Estate of the Late David David-Weill, Sotheby's, London, 28 June 1988, lot 10 (£14,300,000).
Anonymous sale, Sotheby's, New York, 11 November 1999, lot 107 ($15,402,500).
Private collection, Europe. 
","
signed and dated 'Claude Monet 76' (lower right) 
","
Private collection, Europe. 
",oil on canvas ,1876,https://www.christies.com/img/LotImages/2009/CKS/2009_CKS_07701_0019_000().jpg
Vincent van Gogh,Vue de l′asile et de la Chapelle de Saint-Rémy,02.07.2012,"15,980,442",45.1 x 60.4 cm,Impressionist / Modern Evening Sale,"GBP 5,000,000 - GBP 7,000,000","Theo van Gogh, Paris.
Johanna van Gogh-Bonger, Paris.
Paul Cassirer, Berlin, by whom acquired from the above on 20 February 1907.
Margarete Mauthner, Berlin, by whom acquired from the above in May 1907.
With Galerie Marcel Goldschmidt & Co., Frankfurt-am-Main & Berlin.
Alfred Wolf, Stuttgart, Lintal, Switzerland and Buenos Aires, by whom acquired from the above after 1928;  his sale, Sotheby's, London, 24 April 1963, lot 6.
Acquired at the above sale by Francis Taylor on behalf of his daughter, Elizabeth Taylor.
",-,-,oil on canvas ,1889,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_08049_0012_000(vincent_van_gogh_vue_de_lasile_et_de_la_chapelle_de_saint-remy).jpg
Amedeo Modigliani,Vénus,11.08.2006,"15,920,000",99.5 x 84.5 cm,Impressionist and Modern Art Evening Sale,"USD 6,000,000 - USD 9,000,000","Collection Netter, Paris.
Perls Galleries, New York.
Galerie de l'Elysée (Alex Maguy), Paris.
By descent from the above to the present owner. 
","
signed 'Modigliani' (upper right) 
","Collection Netter, Paris.
",oil on canvas ,1917,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01722_0031_000().jpg
Jeff Koons,Pink Panther,11.12.2014,"15,845,000",52.1 x 48.3 cm,Post-War & Contemporary Art Evening Sale,"USD 8,000,000 - USD 12,000,000","Galerie Max Hetzler, Cologne
Private collection, 1992
Anon. sale; Sotheby's, New York, 10 May 2011, lot 10
Acquired at the above sale by the present owner","
signed, numbered and dated 'Jeff Koons 88 AP' (on the underside)
","
Private collection, 1992
",Pink Panther,1988,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0033_000(jeff_koons_pink_panther).jpg
Henri Matisse,La fenêtre ouverte,05.04.2011,"15,762,500",72.7 x 60.3 cm,Impressionist and Modern Art Evening Sale,"USD 8,000,000 - USD 12,000,000","Galerie Bernheim-Jeune et Cie., Paris (acquired from the artist, April 1912).
Pierre Bonnard, Paris (acquired from the above, June 1912); sale, Galerie Charpentier, Paris, 23 February 1954, lot 17.
Emil Georg Bührle, Zurich (by 1958).
Marlborough Galerie A.G., Zurich (by 1971).
The Pace Gallery, New York.
Acquired from the above by the present owner, October 1990.
","
signed 'Henri Matisse' (lower right) 
",-,oil over pencil on canvas ,1911,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02437_0029_000(henri_matisse_la_fenetre_ouverte).jpg
Andy Warhol,Sixteen Jackies,11.15.2006,"15,696,000",203.2 x 162.6 cm,Post War and Contemporary Art Evening Sale,,"Leo Castelli Gallery, New York
Acquired from the above by the present owner, 1965
","
signed 'ANDY WARHOL 64' (bottom overlap, first row second canvas; third row, fourth canvas); 'ANDY WARHOL 64' (top overlap, second row, first canvas; third row, first three canvases; fourth row, fourth canvas); 'ANDY WARHOL 64' (left overlap, fourth row, second canvas)
",-,"signed 'ANDY WARHOL 64' (bottom overlap, first row second canvas; third row, fourth canvas); 'ANDY WARHOL 64' (top overlap, second row, first canvas; third row, first three canvases; fourth row, fourth canvas); 'ANDY WARHOL 64' (left overlap, fourth row, second canvas)",1964,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01725_0037_000().jpg
Lucian Freud,Bruce Bernard,06.20.2007,"15,607,602",114.2 x 83.7cm,Post -War and Contemporary Art   (Evening Sale),"GBP 4,500,000 - GBP 5,500,000","Acquavella Galleries, New York.
Acquired from the above by the present owner in 1993. 
",-,-,oil on canvas ,1992,https://www.christies.com/img/LotImages/2007/CKS/2007_CKS_07406_0035_000().jpg
Alberto Giacometti,Femme de Venise II,06.24.2014,"15,393,048",120.5 cm,Impressionist/Modern Evening Sale,"GBP 8,000,000 - GBP 12,000,000","Galerie Maeght, Paris.
Sidney Janis Gallery, New York (no. 8491).
J. Daniel Weitzman, New York, by 1960.
Acquired by the present owner before 1982.","
signed and numbered ‘4/6 Alberto Giacometti' (on the left side of the base); inscribed with the foundry mark 'Susse Fr Paris’ (on the back of the base)
",-,bronze with gold patina,1956,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01532_0013_000(alberto_giacometti_femme_de_venise_ii).jpg
Francis Bacon,Study for a Head,02.11.2015,"15,312,942",101.7 x 76.5cm,Post-War and Contemporary Art Evening Auction,,"Hanover Gallery, London.
Mrs. Brenda Bomford, Aldbourne.
Marlborough Fine Art Ltd., London.
Lord and Lady Beaumont of Whitley, London.
Private Collection, Liege.
Lefevre Gallery (Alex Reed and Lefevre Ltd.), London.
Private Collection, London (acquired from the above circa 1970).
Lefevre Gallery (Alex Reed and Lefevre Ltd.), London (acquired from the above circa 1988).
Onishi Museum, Osaka (acquired from the above circa 1990).
Lefevre Gallery (Alex Reed and Lefevre Ltd.), London (acquired from the above in 1999).
Ernst Beyeler, Basel (acquired from the above circa 2000).
Acquired by the present owner in 2005.
",-,"
Private Collection, Liege.
",oil on canvas,1955,https://www.christies.com/img/LotImages/2015/CKS/2015_CKS_10337_0017_000(francis_bacon_study_for_a_head).jpg
Pierre-Auguste Renoir,L′ombrelle,02.06.2013,"15,216,022",61.9 x 50.8 cm,Impressionist/Modern Evening Sale,"GBP 4,000,000 - GBP 7,000,000","Galeries Durand-Ruel, Paris.
Erwin Davis, New York.
Galeries Durand-Ruel, Paris & New York, by whom acquired from the above on 14 April 1909. 
Carol O. Nielsen, New York, by whom acquired from the above on 15 March 1918.
Robert Treat Paine II, Boston, by 1926.
Anonymous sale, Christie's, New York, 11 May 1988, lot 15.
Acquired at the above sale by the family of the present owner. 
","
signed 'Renoir' (lower left) 
",-,oil on canvas ,1878,https://www.christies.com/img/LotImages/2013/CKS/2013_CKS_01102_0013_000(pierre-auguste_renoir_lombrelle).jpg
Cy Twombly,Unititled,05.11.2011,"15,202,500",122 x 140 cm,Post-War and Contemporary Art Evening Sale,"USD 10,000,000 - USD 15,000,000","Leo Castelli Gallery, New York
Private collection, Rome
William Howard Adams, New York
BlumHelman Gallery, New York
Barbara Jacobson, Los Angeles
Manny Silverman Gallery, Los Angeles
Acquired from the above by the present owner 
",-,"
Private collection, Rome
",oil based house paint and wax crayon on canvas ,1967,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02440_0025_000(cy_twombly_unititled).jpg
Domenico Zampieri,Saint John the Evangelist,12.08.2009,"15,195,602",259 x 199.4 cm,"Old Master & 19th Century Paintings, Drawings & Watercolours Evening Sale","GBP 7,000,000 - GBP 10,000,000","Possibly painted for Cardinal Benedetto Giustiniani (1554-1621), Palazzo Giustiniani, S. Luigi dei Francesi, Rome, by whom placed 'nella 2a camera contegua alla sopradetta', cf. his posthumous inventory, 1621, no. 86, 'Un quadro di San Giovanni Evangelista, senza cornice' (see Danesi Squarzina, 1997, see infra).
His brother, Marchese Vincenzo Giustiniani (1564-1637), Palazzo Giustiniani, by whom placed 'Nella 7a Stanza seguitta alla suddetta all'entrare mano manca che ha le finestre, che rispondono al cortile', his posthumous inventory, 1638, I, nos. 170-2, 'Tre altri quadri della medesima grandezza uno con S. Gio. Evangelista di mano di Domenichino, senza cornice' (see Salerno, l960), and by descent through his heir,
Andrea Giustiniani, at the Palazzo Giustiniani, Rome (postumous inventory of Prince Benedetto Giustiniani, 1793, no. 73 and inventory of 1802, no. 101), until 1804 (when an offer of 6,500 scudi was declined, see infra).
Taken to Paris for Prince Giustiniani, probably before 1806, and sold there to Alexis Delahante, by whom taken to London.
with W. Harris, Bond Street, by whom sold to
Richard Hart Davis, M.P. (1766-1842), Grosvenor Square and Mortimer House, Clifton, Gloucestershire.
Sold en bloc with his collection in about 1813 to Phillip John Miles, M.P. (d. 1845), of Leigh Court, Somerset, where the picture was placed in the Saloon, and by descent to his grandson,
Sir Philip Miles, 2nd Bt. (1825-1888); Christie's, London, 28 June 1884, lot 22 (bought in at 700 guineas).
His son, Sir Cecil Miles, 3rd Bt. (1873-1898); his posthumous sale, Christie's, London, 13 May 1899, lot 19 (bought in at 100 guineas and subsequently sold for 70 guineas to M. Colnaghi).
A.L. Christie, Tapeley Park, Devonshire and Glyndebourne, East Sussex, and by descent.
",-,"
Sold en bloc with his collection in about 1813 to Phillip John Miles, M.P. (d. 1845), of Leigh Court, Somerset, where the picture was placed in the Saloon, and by descent to his grandson,
",oil on canvas ,-,https://www.christies.com/img/LotImages/2009/CKS/2009_CKS_07782_0028_000().jpg
Andy Warhol,Mustard Race Riot,11.10.2004,"15,127,500",289.3 x 208.3 cm,Post-War and Contemporary Art (Evening Sale)                ,"USD 10,000,000 - USD 15,000,000","Leo Castelli Gallery, New York
Mr. and Mrs. Thomas C. Jones, Washington, D.C. 
",-,-,"acrylic, silkscreen ink and graphite on canvas ",1963,https://www.christies.com/img/LotImages/2004/NYR/2004_NYR_01431_0012_000().jpg
Henri Matisse,Nu au coussin bleu,05.04.2010,"15,090,500",72 x 60 cm,Property from the Collection of Mrs. Sidney F. Brody,"USD 20,000,000 - USD 30,000,000","Eugene Marich, Paris.
Acquired from the above by Mr. and Mrs. Sidney F. Brody, 19 March 1964. 
","
signed 'Henri Matisse' (lower center) 
",-,oil on canvas ,1924,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02410_0022_000(henri_matisse_nu_au_coussin_bleu).jpg
,"Abstraktes Bild, 710",11.12.2008,"14,866,500",260 x 200 cm,Post-War & Contemporary Evening Sale,,"Marian Goodman Gallery, New York
Acquired from the above by the present owner
","
signed, numbered and dated '710 Richter 1989' (on the reverse)
",-,oil on canvas ,1989,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_02048_0009_000().jpg
Constantin Brancusi,Le premier cri,11.01.2011,"14,866,500",26 cm,Impressionist and Modern Evening Sale,"USD 8,000,000 - USD 10,000,000","Henri-Pierre Roché, Paris (acquired from the artist).
Galerie Claude Bernard, Paris (acquired from the estate of the above).
Isidore Cohen, New York (1968).
Acquired by the family of the present owner, circa 1975.
","
signed 'C. Brâncusi' (on the underside) 
",-,polished bronze ,1917,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02477_0068_000(constantin_brancusi_le_premier_cri).jpg
Willem de Kooning,September Morn,11.12.2013,"14,725,000",160 x 125.7 cm,Post-War and Contemporary Evening Sale,"USD 10,000,000 - USD 15,000,000","Collection of the Artist
Sidney Janis Gallery, New York
Museum of Modern Art, New York
Blum Helman Gallery, New York
Acquired from the above by the present owner
","
signed 'De Kooning' (lower right)
","Collection of the Artist
",oil on canvas,1958,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0041_000(willem_de_kooning_september_morn).jpg
Willem de Kooning,Untitled III,11.12.2014,"14,725,000",194.6 x 221.9 cm,Post-War & Contemporary Art Evening Sale,"USD 12,000,000 - USD 18,000,000","Estate of Willem de Kooning, New York
Thomas Ammann Fine Art, Zurich
Private collection
Matthew Marks Gallery, New York
Private collection, New York
L&M Arts, New York
Acquired from the above by the present owner
","
signed ‘de Kooning’ (on the reverse)
","
Private collection
",oil on canvas,1978,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0044_000(willem_de_kooning_untitled_iii).jpg
,Karmin,02.11.2015,"14,630,369",200 x 200cm,Post-War and Contemporary Art Evening Auction,"GBP 9,000,000 - GBP 14,000,000","Anthony d'Offay Gallery, London. 
Lord Anthony Jacobs, London.
Gagosian Gallery, London.
Acquired from the above by the present owner in 2010.
","
signed, numbered and dated 'Richter 1994 810-1' (on the reverse)
",-,oil on canvas,1994,https://www.christies.com/img/LotImages/2015/CKS/2015_CKS_10337_0031_000(gerhard_richter_karmin).jpg
Zeng Fanzhi,Hospital Triptych No. 3,11.23.2013,"14,605,770",150 x 115 cm,Asian 20th Century & Contemporary Art (Evening Sale),,-,"
left: signed in Chinese; dated '5.92' (lower right);
",-,oil on canvas,1992,https://www.christies.com/img/LotImages/2013/HGK/2013_HGK_03255_0050_000().jpg
Jean-Michel Basquiat,Museum Security,02.13.2013,"14,603,459",213.4 x 213.4 cm,Post-War and Contemporary Art (Evening Auction),"GBP 7,000,000 - GBP 9,000,000","Larry Gagosian Gallery, Los Angeles.
Kamran Diba, Paris (acquired from the above in 1983).
Private Collection, London. 
",-,"
Private Collection, London. 
","acrylic, oilstick and paper collage on canvas ",1983,https://www.christies.com/img/LotImages/2013/CKS/2013_CKS_01106_0030_000(jean-michel_basquiat_museum_security).jpg
Henri de Toulouse-Lautrec,Danseuse assise aux bas roses,05.12.1997,"14,522,500",56.8 x 46.4 cm,The John & Frances L. Loeb Collection,"USD 8,000,000 - USD 10,000,000","Olivier Sainsère, Paris
Anon. sale, Palais Galliéra, Paris, June 19, 1963, lot 11 (illustrated in color)
M. Knoedler & Co., Inc., New York
Acquired from the above by the late owners on Oct. 11, 1963 
","
signed bottom left 'HTLautrec' 
",-,peinture à l'essence and pastel on board ,1890,-
Henri Matisse,Harmonie jaune,11.11.1992,"14,520,000",88 x 88 cm,,"USD 5,000,000 - USD 7,000,000","Pierre Matisse Gallery, New York
Acquired by the present owner from the above in the autumn of 1933

","
signed and dated bottom left Henri Matisse 28--oil on canvas
",-,signed and dated bottom left Henri Matisse 28--oil on canvas,1927,-
Valentin Aleksandrovich Serov,Portrait of Maria Zetlin,11.24.2014,"14,513,192",107 x 73.4 cm,Important Russian Art,"GBP 1,500,000 - GBP 2,500,000","The collection of Maria & Mikhail Zetlin.
Donated by Maria Zetlin to the Municipality of Ramat Gan in 1959. 
","
signed with Cyrillic initials and dated 'V S/910' (centre left)
","The collection of Maria & Mikhail Zetlin.
",tempera and oil on board,1910,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01571_0015_000(valentin_serov_portrait_of_maria_zetlin).jpg
,Zwei Liebespaare,02.06.2008,"14,382,715",115 x 160cm,Post-War and Contemporary Art  Evening Sale,,"Acquired directly from the artist by the mother of the present owner in the 1960s and thence by descent. 
","
signed, titled and dated '""Zwei Liebespaare"" Richter 66' (on the reverse)
",-,oil on canvas ,1966,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07565_0017_000().jpg
Unkei,A wood sculpture of Dainichi Nyorai,03.18.2008,"14,377,000",66.1cm,Japanese And Korean Art,"USD 1,500,000 - USD 2,000,000",-,-,-,"Carved and assembled from cypress wood in warihagi zukuri technique and modeled as Dainichi Nyorai seated in the lotus position with the hands held in the ""knowledge fist"" gesture, the hair arranged in a tall standing top knot and adorned with a crown; applied with gold lacquer and pigment; the interior of the body containing three dedicatory objects: a wood placard with five-stage pagoda-shaped finial, crystal ball supported by a bronze lotus stand, and a crystal five-stage pagoda",-,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_01978_0200_000().jpg
Donald Judd,Untitled,11.12.2013,"14,165,000",243.8 x 29.8 cm,Post-War and Contemporary Evening Sale,"USD 10,000,000 - USD 15,000,000","Leo Castelli Gallery, New York
Acquired from the above by the present owner
",-,-,light cadmium red oil and black oil on wood with galvanized iron and aluminum,1963,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0029_000(donald_judd_untitled).jpg
Giorgio de Chirico,Il Ritornante,02.23.2009,"14,162,291",94 x 77.9 cm,Collection Yves Saint Laurent et Pierre Bergé,"EUR 7,000,000 - EUR 10,000,000","Mario Broglio, Rome.
Paul Guillaume, Paris.
Jacques Doucet, Paris (acquis auprès de celui-ci, novembre 1925).
Pierre Colle, Paris (acquis auprès de la succession de celui-ci, 5 juillet 1941).
Béatrice Colle-Saalburg, Paris (par descendance, 1948).
Acquis auprès de celle-ci par Yves Saint Laurent et Pierre Bergé, juillet 1986. 
","
signé et daté 'G. de Chirico 1918' (en bas à droite) 
",-,huile sur toile ,-,https://www.christies.com/img/LotImages/2009/PAR/2009_PAR_01209_0057_000().jpg
Paul Signac,Cassis Cap Canaille,11.06.2007,"14,041,000",65.7 x 82.2 cm,Impressionist and Modern Art Evening Sale,"USD 8,000,000 - USD 12,000,000","Mme Monnom, Brussels (acquired from the studio of the artist, 1890).
Marlborough Fine Art Ltd., London.
Jérôme Hill, New York.
Walter Brown, San Antonio (1974).
Private collection.
","Paul Signac (1863-1935) 
","
Private collection.
",oil on canvas ,1889,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01900_0019_000().jpg
Clyfford Still,1946,05.13.2008,"14,041,000",153.7 x 111.1 cm,Post War And Contemporary Art Evening Sale,"USD 8,000,000 - USD 12,000,000","The artist
Private collection
Diane Upright Fine Arts, LLC 
","
signed, inscribed, titled and dated 'Clyfford 1946-S. F. P-182' (on the reverse)
","
Private collection
",oil on canvas ,1946,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_01997_0028_000().jpg
Edward Hopper,Chair Car,05.11.2005,"14,016,000",101.6 x 127 cm,Post-War and Contemporary Art (Evening Sale)                ,-,"Frank K.M. Rehn, Inc., New York.
Acquired by the present owner from the above, 1965. 
","
signed 'Edward Hopper' (lower left) 
",-,oil on canvas ,1965,https://www.christies.com/img/LotImages/2005/NYR/2005_NYR_01516_0034_000().jpg
Chaïm Soutine,Le boeuf écorché,02.06.2006,"13,829,075",129.8 x 75 cm,Impressionist and Modern Art Evening Sale,"GBP 4,200,000 - GBP 4,800,000","Henri Bing, Paris.
Jos. Hessel, Paris.
Colle collection, Paris.
Private collection, by February 1943 and thence by descent to the present owner. 
",-,"
Colle collection, Paris.
",oil on canvas ,1924,https://www.christies.com/img/LotImages/2006/CKS/2006_CKS_07188_0068_000().jpg
Joan Miró,L′Oiseau au plumage déployé vole vers l′arbre argentéREPEAT SALE,02.04.2015,"13,794,001",90 x 116 cm,The Art of The Surreal Evening Sale,"GBP 7,000,000 - GBP 9,000,000","Pierre Matisse Gallery, New York, by whom acquired directly from the artist (no. St 2905).
Edgar J. Kaufmann, Jr., New York, by whom acquired from the above in 1953; his Estate Sale, Sotheby's, New York, 15 November 1989, lot 6.
Private Collection, USA, by whom acquired at the above sale; sale, Sotheby's, London, 7 February 2006, lot 48.
Acquired at the above sale by the present owner.","
signed 'Miró' (lower centre); signed, dated and titled 'Miró. 1953. L'OISEAU AU PLUMAGE DEPLOYÉ VOLE VERS L'ARBRE ARGENTÉ.' (on the reverse)
","
Private Collection, USA, by whom acquired at the above sale; sale, Sotheby's, London, 7 February 2006, lot 48.
",oil on canvas,1953,https://www.christies.com/img/LotImages/2015/CKS/2015_CKS_10864_0116_000(joan_miro_loiseau_au_plumage_deploye_vole_vers_larbre_argente).jpg
Lodovico Carracci,Salmacis and Hermaphroditus,07.06.2006,"13,653,000",114.3 x 151.8 cm,Important Old Master Pictures,"GBP 800,000 - GBP 1,200,000","Possibly Roberto Canonici, Ferrara, by 1632 (see infra).
Possibly inherited by Frances, widow of Robert Sackville, 5th Earl of Dorset (d. 1667), on the death of her brother, Lionel Cranfield, 3rd Earl of Middlesex, in 1674 (see infra).
Probably her son, Charles, 6th Earl of Dorset (1636-1705), in whose posthumous inventory of whose possessions at Knole two pictures identified as of Cupid and Psyche are recorded (see infra), and by descent at Knole.
",-,-,Salmacis and Hermaphroditus ,-,https://www.christies.com/img/LotImages/2006/CKS/2006_CKS_07253_0045_000().jpg
