Author,Art,Sale date,Price,Provenance,Sign,Technique and performance material,Size,Image,Estimate,Report,Description,Tried url
Claude Monet,Le Givre à Giverny,02.05.2013,"13,798,715","Arthur Tooth & Sons, London
Montague Shearman, London & Swanage (acquired from the above on 6th May 1939)
St. John Hutchinson, London (a gift from the above in 1940)
Arthur Tooth & Sons, London
The 9th Earl of Jersey, Jersey (acquired from the above on 14th July 1943)
Thence by descent to the present owners
London, Arthur Tooth & Sons, Cl. Monet, 1939, no. 20, illustrated in the catalogue (titled Givre au Bois de Boulogne)
London, The Redfern Gallery, The Montague Shearman Collection of French and English Paintings, 1940, no. 18 (titled Givre au Bois de Boulogne)
London, National Gallery, 19th Century French Painting, 1942
St. Helier, Jersey Museum and Art Gallery, Barreau Art Gallery, Old Masters from Jersey Collections, 1952, no. 52
Cardiff, National Museum of Wales, How Impressionism Began, 1960, no. 44
The Connoisseur: An Illustrated Magazine for Collectors, vol. 105, 1940, mentioned p. 224 (titled Givre au Bois de Boulogne)
Jean-Pierre Hoschedé, Cl. Monet, ce mal connu, Geneva, 1960, vol. II, illustrated p. 129 (titled Givre à Giverny sur la Seine gelée en 1899)
Daniel Wildenstein, Claude Monet, biographie et catalogue raisonné, Paris & Lausanne, 1979, vol. II, no. 963, illustrated p. 153
Daniel Wildenstein, Monet, Catalogue raisonné, Cologne, 1996, vol. II, no. 963, illustrated p. 358
Painted in 1885, Le Givre à Giverny depicts the hoar-frost covered trees at Giverny, a town on the outskirts of Paris that would become synonymous with the most innovative compositions of Monet's career. The artist moved with his family to Giverny in April 1883 and remained there for the rest of his life. The two silhouetted figures in the present work are the artist’s son and step-son Michel Monet and Jean-Pierre Hoschedé who are walking near the Ile de Orties in the village. The dynamic handling of paint represents Monet’s progression towards a more radicalised depiction of the natural world that would effectively establish him as a pillar of the avant-garde, as the dramatic interplay of light and shadow here transforms the landscape into a sensory montage of textures and colours.

Le Givre à Giverny is one of Monet's
READ MORE
","signed Claude Monet (lower left)
",oil on canvas,54 by 71cm,https://sothebys-com.brightspotcdn.com/dims4/default/0a0d5f1/2147483647/strip/true/crop/2000x1529+0+0/resize/212x162!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2Fce%2F26%2Fb8%2Fe09b7c372a59478bb1d4af62cb1d139a6e2e7d5ab1a3cea4bd34f3be68%2F034l13002-6524r.jpg,"4,000,000",Found,"signed Claude Monet (lower left)
oil on canvas
54 by 71cm.
21 1/4 by 28in.
Painted in 1885.",
Joan Miró,L′Oiseau au plumage déployé vole vers l′arbre argentéREPEAT SALE,02.04.2015,"13,794,001",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Joan Miró L′Oiseau au plumage déployé vole vers l′arbre argenté&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Marc Chagall,Le grand cirque,05.08.2007,"13,760,000","The authenticity of this work has kindly been confirmed by the Comité Chagall.
Gustave Stern Foundation, New York
Acquired from the above by the present owner
Berne, Kunsthalle, Marc Chagall, Oeuvres de 1950 à 1956, 1956, no. 46
Basel, Kunsthalle, Oeuvres des 25 dernières années, 1956, no. 61
Paris, Galerie Maeght, Marc Chagall, 1957, no. 5
Brussels, Palais des Beaux-Arts; Amsterdam, Stedelijk Museum, L'oeuvre des dernières années, 1956-57, no. 147
Hamburg, Kunsthalle; Munich, Haus der Kunst, Chagall-Ausstellung, 1959, no. 166
Paris, Musée des arts décoratifs, Exposition Marc Chagall, 1959, no. 174
South Bend, Indiana, University of Notre Dame Art Gallery, 1965
Zürich, Kunsthaus (on loan)
Jerusalem, The Israel Museum, Chagall in Israel, 2002-03
Chagall found an endless amount of pleasure in depicting the visual splendor of the circus.  Throughout his career he drew great creative energy from watching the event, and some of his most important canvases are fantastic depictions that exaggerate the pageantry of the performance.  “It’s a magic world, the circus,” Chagall once wrote, “an age-old game that is danced, and in which tears and smiles, the play of arms and legs take the form of great art….The circus is the performance that seems to me the most tragic. Throughout the centuries, it has been man’s most piercing cry in his search for entertainment and joy.  It often takes the form of lofty poetry.  I seem to see a Don Quixote in search of an ideal, like that marvelous clown who wept and dreamed of human love.”
  Although this picture is mostly populated by circus performers, these characters
READ MORE
","Signed and dated Marc Chagall 1956 (lower right)
",Oil and gouache on canvas,159.5 by 308.5 cm,https://sothebys-com.brightspotcdn.com/dims4/default/dba0607/2147483647/strip/true/crop/2000x2000+0+0/resize/212x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F79%2F25%2F9a%2F31c3d6d9a20689c142ef4fdda09ebc0e027e3b5b9f807d0c54f4b20805%2Fn08314-40-lr-1.jpg,"8,000,000",Found,"Signed and dated Marc Chagall 1956 (lower right)

Oil and gouache on canvas

62 3/4 by 121 1/2 in.
159.5 by 308.5 cm
Painted in 1956.",
Alberto Giacometti,Grande tête de Diego,05.08.2002,"13,759,500",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Alberto Giacometti Grande tête de Diego&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Henri Matisse,La vis,11.03.1993,"13,752,500",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Henri Matisse La vis&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Pierre-Auguste Renoir,Jeune fille au chapeau garni de fleurs des champs,05.09.1989,"13,750,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Pierre-Auguste Renoir Jeune fille au chapeau garni de fleurs des champs&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Joan Miró,Peinture,11.07.2012,"13,746,500","Galerie Maeght, Paris
Princess Sarabhaï, Ahmedabad, India (acquired by 1956)
Galerie Lelong, Paris (acquired from the above in 2007)
Acquired by the present owner in 2014
Krefeld, Kaiser Wilhelm Museum & Stuttgart, Württembergische Staatsgalerie, Miró, 1954, no. 17
Baden-Baden, Museum Frieder Burda, Miró. Les couleurs de la poésie, 2010, no. 44, illustrated in colour in the catalogue
Zurich, Kunsthaus & Frankfurt, Schirn Kunsthalle, Joan Miró: Wall, Frieze, Mural, 2015-16, no. 47, illustrated in colour in the catalogue (titled Sans titre and with incorrect medium)
Jacques Prévert & Georges Ribemont-Dessaignes, Joan Miró, Paris, 1956, illustrated p. 181
Jacques Dupin, Joan Miró, Life and Work, London, 1962, no. 820, illustrated p. 562
Jacques Dupin & Ariane Lelong-Mainaud, Joan Miró, Catalogue raisonné. Paintings, Paris, 2001, vol. III, no. 955, illustrated in colour p. 223
‘Insofar as possible I’d like to get beyond easel painting, which in my opinion pursues a petty aim’, Miró declared in 1938, a decade after he famously proclaimed that he wanted to ‘assassinate painting’. For the rest of his career he produced works that embody a paradox unique to his œuvre: whilst creating art that went against traditional notions of painting, he never ceased to be a painter and to see himself primarily as a painter. Later in life Miró explained: ‘Anti-painting was a revolt against a state of mind and traditional painting techniques that were later judged morally unjustifiable. It was also an attempt to express myself through new materials’ (quoted in Joan Miró: Painting and Anti-Painting, 1927-1937 (exhibition catalogue), The Museum of Modern Art, New York, 2008-09, p. 1).
The present composition belongs to a small group of works from 1953 in which
READ MORE
","signed Miró (lower right)
",oil on gouged cardboard,74.5 by 54.5cm,https://sothebys-com.brightspotcdn.com/dims4/default/867ea1e/2147483647/strip/true/crop/1424x2000+0+0/resize/151x212!/quality/90/?url=https%3A%2F%2Fsothebys-com.brightspotcdn.com%2F58%2F2e%2Fde%2Ff5ea6cbe191c9e83372d4baf811a0f9327ef9046b7fd77393db8cb50b0%2F078l19006-b79qn.jpg,"2,500,000",Found,"signed Miró (lower right)
oil on gouged cardboard
74.5 by 54.5cm.
29 3/8 by 21 1/2 in.
Painted in 1953.",
Pablo Picasso,Nu jaune,11.02.2005,"13,736,000","Galerie Kahnweiler, Paris (sold: 3e vente, Hôtel Drouot, Paris, July 4, 1922, lot 19)
André Lefèvre, Paris (acquired at the above sale and sold: Galliera, Paris, December 1, 1964, lot 25)
Knoedler & Co., Inc., New York
Acquired from the above on March 19, 1965
Paris, Musée National d’Art Moderne, Collection André Lefèvre, 1964, no. 238
Christian Zervos,  Pablo Picasso, vol. XXVI, Paris, 1973, no. 281, illustrated pl. 88 (titled Nu debout)
Pierre Cabanne, Le siècle de Picasso, vol. I, Paris, 1975, n.n.
Pierre Daix and Joan Rosselet, Le Cubisme de Picasso, Neuchâtel, 1979, no. 39, illustrated p. 198
Les Demoiselles d’Avignon, vol. 1 (exhibition catalogue), Musée Picasso, Paris, 1988, no, 59, illustrated p. 78
  Nu jaune, also known as Nu debout, belongs to a series of Picasso’s studies in pencil, gouache and oil that culminated in the groundbreaking work, Les Demoiselles d’Avignon, completed in the spring of 1907.  According to Pierre Daix, the present work is the first study for this world-renowned masterpiece and depicts the figure along the right side of the final composition (see fig. 1).  The preliminary sketches that Picasso completed for Les Demoiselles d'Avignon not only demonstrate various stages, processes and changes in the artist’s mind that led to the final work, but also constitute a vital body of experimental work that resulted in the invention of Analytic Cubism. Completed in the incipient stages of early Cubism, all of these studies deal with the subject of the female nude, some concentrating on single
READ MORE
","Signed Picasso (lower right); signed and dated Picasso 1907 on the reverse
","Watercolor, gouache, and India ink on paper",59.8 by 39.5 cm,https://sothebys-com.brightspotcdn.com/dims4/default/870b2ca/2147483647/strip/true/crop/2000x2000+0+0/resize/212x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2Fba%2Fa4%2Fd5%2F478714f4a19e54825ab3205de5ceaff4f0f5537410b9bfa67d5d422b2d%2F4hyh2-n08125-4-1.jpg,"3,000,000",Found,"Signed Picasso (lower right); signed and dated Picasso 1907 on the reverse

Watercolor, gouache, and India ink on paper

23 by 15 ½ in.
59.8 by 39.5 cm
Executed in 1907.",
Sir Anthony van Dyck,Self portrait,12.09.2009,"13,719,733","Possibly in the collection of Sir Peter Lely, d. 1680;
Possibly his sale 18th April 1682 (bt. by Lord Newport, 1st Earl of Bradford (1619-1708) for £34);
Richard Graham (fl. 1695-1727) until sold in his sale, Peletier London, 6 March 1712, lot 41, bt by Sir Francis Child the Younger (1684-1740);
by descent to his nephew Robert Child (1739-1782) of Osterley Park;
by descent to his grand-daughter Lady Sarah Sophia Fane (1785-1867) who married George Child-Villiers, 5th Earl of Jersey and 8th Viscount Grandison (1773-1859) of Osterley Park, Middlesex and Middleton Park, Oxfordshire;
by descent
London, Arts Council of Great Britain, Old Masters from Jersey Collections, 1952, no. 11;
London, National Portrait Gallery, Van Dyck in England, 1982, no. 65;
London, Tate Gallery, Van Dyck in Britain, 2009, no. 67;
G. Gluck, 'Reflections on Van Dyck's Early Death,' The Burlington Magazine, 1941, vol. 79, no. 465, p. 194;
Possibly, 'Sir Peter Lely's Collection,' Editorial, The Burlington Magazine, August 1943, p. 187;
E. Larsen, L'Opera Completa di Van Dyck, Milan, 1980, no. 757;
E. Larsen, The Paintings of Anthony van Dyck, Freren, 1988, Vol. II, no. 1018;
R. Davids, The Artist as a Portrait, London 2000, p. 48;
E.E.S. Gordenker, Anthony van Dyck and the Representation of Dress in Seventheenth Century Portraiture, Brepols 2001, pp. 61, 118 no. 126;
S Barnes, N de Poorter, O Millar, H Vey, Van Dyck: A Complete Catalogue of the Paintings, Yale & London, 2004, no. IV.5, p. 432
This is one of the most important Flemish Baroque self portraits and perhaps the finest still remaining in private hands. Painted in England in 1640, it presents a powerful image of the artist who so successfully immortalised the social elegance and aristocratic sophistication of King Charles I and his court. Infused with character and charisma it was painted at the height of van Dyck's career - with the utmost bravado and confidence; each sweep of the paint brush breathtakingly effective despite its deceptive simplicity. Van Dyck portrays himself dressed in a rich black and white silk doublet his body leaning intimately against the picture plane and towards the viewer. His intense gaze attracts and holds our attention.
A highlight of the recent Van Dyck & Britain exhibition, this portrait epitomises the elegant poise and relaxed informality that the artist
READ MORE
",-,-,59.7 by 47.3 cm,https://sothebys-com.brightspotcdn.com/dims4/default/d8fda2d/2147483647/strip/true/crop/2000x2000+0+0/resize/212x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F94%2F95%2Ff9%2F5e9b6aaca0c860718761df81eba4f703ea86406b9148e348ffd1796e60%2Fl09636-8-lr-1.jpg,"2,000,000",Found,"oil on canvas, oval, held in an important seventeenth century Italianate Mannerist style English frame

59.7 by 47.3 cm. 23 1/2 by 18 3/4 in.",
Pablo Picasso,Le peintre et son modèle,06.19.2006,"13,698,880","Galerie Louise Leiris, Paris
Acquired from the above in 1964
Paris, Galerie Louise Leiris, Picasso, peintures, 1962-1963, Paris, 1964, no. 56, illustrated in the catalogue
Christian Zervos, Pablo Picasso, Oeuvres de 1962 et 1963, vol. XXIII, Paris, 1971, no. 258, illustrated p. 122
Painted in 1963, Le Peintre et son modèle exemplifies the dynamic force of Picasso’s late work on a magnificent scale. Picasso presents a panegyric to the powerful relationship between artist and model. The male figure, a recognizable amalgamation of self portraiture, paints a female nude reminiscent of the women painted by Rubens, Ingres and Goya (see figs. 1-3). With its foundation in this trajectory of art history, Le Peintre et son modèle is a monumental and dynamic depiction of this historic theme.
Throughout the spring of 1963, Picasso executed a series of paintings on the theme of the painter and his model, one of the great recurring motifs of his late work. “Picasso painted, drew and etched this subject so many times in his life that, as Michel Leiris has remarked, it almost became a genre in itself like landscape or still-life. In 1963
READ MORE
","Signed Picasso and dated 11.5.63. (center left); dated 11.5.63. (on the reverse)
",Oil on canvas,65 by 100 cm,https://sothebys-com.brightspotcdn.com/dims4/default/a1c5f29/2147483647/strip/true/crop/2000x1286+0+0/resize/212x136!/quality/90/?url=https%3A%2F%2Fsothebys-com.brightspotcdn.com%2F99%2F9a%2F7a%2F5970e5118f665b99309f90addacede0cbe8ffb3cb7e6472d0969f55bc4%2F1059n09931-9ydr4.jpg,"1,400,000",Found,"Signed Picasso and dated 11.5.63. (center left); dated 11.5.63. (on the reverse)
Oil on canvas
25 1/2 by 39 5/8 in.
65 by 100 cm
Painted on May 11, 1963. ",
Lodovico Carracci,Salmacis and Hermaphroditus,07.06.2006,"13,653,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Lodovico Carracci Salmacis and Hermaphroditus&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Sir Peter Paul Rubens,Portrait of a commander being dressed for battle,07.06.2010,"13,631,493",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Sir Peter Paul Rubens Portrait of a commander being dressed for battle&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Zhou Zhimian,Flowers,12.04.2010,"13,616,510",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Zhou Zhimian Flowers&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Pablo Picasso,Sylvette,05.07.2013,"13,605,000","Estate of the artist (1973-1979)
Private Collection, Paris
Stephen Mazoh & Co., Inc., New York
Acquired from the above in 1984
Paris, Petit Palais, Hommage à Pablo Picasso, Dessins, Sculptures, Céramiques, 1966-67, no. 317, illustrated in the catalogue
London, The Tate Gallery, Picasso, sculpture, ceramics, graphic work, 1967, no. 126, illustrated in the catalogue
New York, The Museum of Modern Art, The Sculpture of Picasso, 1967-68, no. 124, illustrated in the catalogue
San Francisco, Museum of Modern Art, Matisse to Diebenkorn, 1995
San Francisco, California Palace of the Legion of Honor, Picasso the Sculpture, 1995-96 
Roland Penrose, The Sculpture of Picasso, New York, 1967, illustrated p. 148.
Werner Spies, Picasso, Sculpture by Picasso, New York, 1971, no. 489, illustrated p. 233
Werner Spies & Christine Piot, Picasso, Das Plastische Werk, Düsseldorf, 1983, no. 489, illustrated p. 273
Werner Spies & Christine Piot, Picasso, The Sculptures, Stuttgart, 2000, no. 489, illustrated pp. 287 & 378
Elizabeth Cowling, ""Metaphor in Picasso's sculpture,"" From Rodin to Giacometti : sculpture and literature in France, 1880-1950,  Atlanta & Amsterdam, 2000, p. 19
The Picasso Project, Picasso’s Paintings, Watercolors, Drawings and Sculpture. The Fifties I, 1950-1955, San Francisco, 2000, no. 54-321a, illustrated p. 266
We are grateful to Diana Widmaier Picasso for providing additional information on this lot.

Picasso's dynamic, three-dimensional rendering of Sylvette is among his most powerful interpretations of the human face.  Using bent sheet metal onto which he has painted the girl's features, he created a wildly imaginative likeness of a young woman with her blonde ponytail and blue-striped sailor's shirt.  This highly detailed sculpture features two simultaneous interpretations of the woman's face which can be seen when viewed in the round.  Of the four metal sculptures of Sylvette, the present work is perhaps Picasso's most complex work devoted to his elusive model. 

19-year-old Sylvette David was Picasso's neighbor in Vallauris who had caught his eye from afar during the spring
READ MORE
",-,-,70 cm,https://sothebys-com.brightspotcdn.com/dims4/default/e90b1b7/2147483647/strip/true/crop/1398x2000+0+0/resize/148x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F3c%2F6f%2Fe3%2F78931b36c4f0facd296613dc98ec8dc2116b5fafbd9fafb8be59c70392%2F735n08987-6qmt8-v2-extend.jpg,"12,000,000",Found,"Painted metal
Height: 27 1/2 in.
70 cm
Executed in 1954.",
Titian,Venus and Adonis,12.13.1991,"13,553,180","Private collection, The Netherlands, until acquired by the present owners.
","signed and inscribed on the reverse: 'Venus et Adonis de Rubens / 'Copié d'après l'original par Julie von Bredow Gamboni'';
","oil on canvas, unlined",67 x 96.7 cm,https://sothebys-com.brightspotcdn.com/dims4/default/0d4d622/2147483647/strip/true/crop/2000x1374+0+0/resize/212x146!/quality/90/?url=https%3A%2F%2Fsothebys-com.brightspotcdn.com%2Fd5%2F00%2F93%2F98cfdfea71daf98b7ddfe711ffde1c52f569927907f52aa0d850349983%2Fl18039-9x7nc-01.jpg,"1,000",Found,"signed and inscribed on the reverse: 'Venus et Adonis de Rubens / 'Copié d'après l'original par Julie von Bredow Gamboni'';
the reverse with a Galleria degli Uffizi red wax seal

oil on canvas, unlined

A late 19th or early 20th century copy after the painting which depicts Venus attempting to prevent Adonis from hunting, in the Uffizi, Florence, datable to 'circa' 1640–50. The painting was formerly attributed to Rubens (as the inscription on the back of the present canvas testifies) but has since been attributed to his pupil, Frans Wouters.1
Wouters entered Rubens' studio in 1634 and also came to England to work on commissions for Charles I in 1637. This composition reflects Wouters' debt to Rubens, as well as to Jan Brueghel the Elder, with whom Rubens often collaborated. The two dogs, lower left, for example, recur in several works by Jan Brueghel, including the painting executed in collaboration with Hendrick van Balen recently sold at Sotheby's in July.2 It must be assumed that Wouters also encountered this motif while working in Rubens' studio.
Julie von Bredow Gamboni was the daughter of Otto von Bismarck's relative, Leopold Waldemar von Bredow. She married Ferdinand Gamboni, a headmaster, and they lived in the celebrated Villa Mercedes on Capri. Her copy of Titian's 'Portrait of Caterina Cornaro', the original of which is also in the Uffizi, is in the Leventis Municipal Museum of Nicosia, Cyprus.
1 https://rkd.nl/explore/images/38814
2 http://www.sothebys.com/en/auctions/ecatalogue/2018/old-masters-evening-l18033/lot.31.html

Unframed: 67 x 96.7 cm.; 26 3/8  x 38 in. Framed: 75.8 x 105.6 cm.; 29 7/8  x 41 5/8  in.",
Edgar Degas,Les blanchisseuses,11.30.1987,"13,538,462",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Edgar Degas Les blanchisseuses&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Jean-Michel Basquiat,Untitled,11.12.2008,"13,522,500","Private Collection, United States (acquired directly from the artist)
Christie's, New York, 16 March 2016, Lot 138
Acquired from the above by the present owner
New York, Cheim & Read, Jean-Michel Basquiat: In Word Only, February - March 2005, p. 3, illustrated
Written in Jean-Michel Basquiat’s unmistakeable scrawl, Untitled (Shadow in His Office); Untitled (Oil And Water…); Untitled (Negative So Slow For That Reason) explores the power of text in an artwork. For an artist who loved bebop and beat poetry, especially the writings of Jack Kerouac and William S. Burroughs, Basquiat relished the wordplay in the present work. The simplicity and elegance of the words themselves takes on a harmonious quality as the viewer reads through the enigmatic and highly stylised words of poetry on three otherwise blank pieces of notebook paper.
Basquiat’s burgeoning stardom reached a climax in 1982, the year after Untitled (Shadow in His Office); Untitled (Oil And Water…); Untitled (Negative So Slow For That Reason) was created. The artist spent 1982 jet-setting around the world, appearing at major exhibitions, as each
READ MORE
",-,-,25.4 by 15.2 cm,https://sothebys-com.brightspotcdn.com/dims4/default/1d13c55/2147483647/strip/true/crop/2000x1038+0+0/resize/212x110!/quality/90/?url=https%3A%2F%2Fsothebys-com.brightspotcdn.com%2F8b%2F0a%2F91%2F46122d0dce8f72c65ac93eaa4a69bc19a3d8471df4725ae3838ec89caa%2Fl19025-141-web.jpg,"100,000",Found,"ink on paper, in three parts
each: 25.4 by 15.2 cm. 10 by 6 in.
Executed circa 1981.",
Pablo Picasso,Le Viol,11.08.2012,"13,522,500",,-,-,-,https://sothebys-com.brightspotcdn.com/dims4/default/399839f/2147483647/strip/true/crop/1420x2000+0+0/resize/151x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F10%2F13%2Fb0%2Fa4828f28db559c3fe0bc7a3447ce1eaa8e18651eceb5e0306251f16c80%2F209n09332-82hhg.jpg,"5,000",Found,"Drypoint and etching, 1932, bearing the artist's name in another hand, on green laid paper, framed
plate: 122 by 91 mm 4 7/8 by 3 5/8 in
sheet: 294 by 210 mm 11 5/8 by 8 1/4 in",
Richard Diebenkorn,Ocean Park # 48,11.14.2012,"13,522,500",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Richard Diebenkorn Ocean Park # 48&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Andy Warhol,Mao,11.15.2012,"13,522,500",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Andy Warhol Mao&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Claude Monet,"Antibes, vue du Plateau Notre-Dame",06.23.2014,"13,481,718","Boussod, Valadon & Cie., Paris (acquired from the artist in June 1888)
Victor Desfossés, Paris, (acquired in 1888)
A. Bellino, Paris
The American Art Association, New York (acquired from the above by 1892. Sold: The American Art Association, New York, 25th-30th April 1895, lot 152)
Thomas L. Manson, New York (acquired by 1908)
E. & A. Milch, New York (acquired by 1922)
J. K. Newman, New York (acquired circa 1924. Sold: The American Art Association, New York, 6th December 1935, lot 40)
M. J. Failing (purchased at the above sale)
Mrs Mansfield Ferry, New York
Private Collection, U.S.A. (by descent from the above. Sold: Sotheby’s, New York, 11th November 1987, lot 6)
Private Collection, U.S.A. (sold: Sotheby’s, New York, 1st May 1996, lot 27)
Purchased at the above sale by the late owner
Paris, Boussod, Valadon & Cie., Monet, 1888
New York, The Metropolitan Museum of Art, 1908 (on loan)
New York, Fearon Galleries, French Painters of the 19th Century, 1924, no. 6
New York, The Brooklyn Museum of Art, Monet and the Mediterranean, 1997-98, no. 60, illustrated in colour in the catalogue
Gustave Geffroy, 'Dix tableaux de Cl. Monet’, in La Justice, 17th June 1888, mentioned p. 1
Gustave Geffroy, La vie artistique 3e série, Histoire de l'Impressionisme, Paris, 1894, vol. II, discussed p. 79
Gustave Geffroy, Claude Monet, sa vie, son temps, son œuvre, Paris, 1922, discussed pp. 278-279
John Rewald, ‘Theo van Gogh, Goupil and the Impressionists’, in Gazette des Beaux-Arts, vol. LXXXI, January 1973, appendix I, mentioned p. 99
Daniel Wildenstein, Claude Monet, Biographie et catalogue raisonné, Lausanne & Paris, 1979, vol. III, no. 1171, illustrated
Daniel Wildenstein, Monet, Catalogue Raisonné, Cologne, 1996, vol. III, no. 1171, illustrated p. 441
Monet i luoghi della pittura (exhibition catalogue), Casa dei Carraresi, Treviso, 2001, illustrated p. 179
Monet’s dazzling view of the south coast of France, Antibes, vue du plateau Notre-Dame, is one of his most vibrant and brilliantly hued compositions of the 1880s. The azure sky is marked by a few scudding clouds and the landscape below is concocted from a rich palette of pink, turquoise and purple. Monet left Paris for the Côte d'Azur on 12th January 1888, arriving several days later. On the recommendation of Guy de Maupassant he planned to stay at the Chateau de la Pinède, a hotel popular with artists. As was often the case, Monet did not find the company of his fellow guests very congenial and in this instance he found the group of artists who gathered around about the Barbizon painter Henri Harpignies particularly irritating. Monet contented himself by first exploring the area around Antibes, Agay and Trayas to the west, then moving towards Monte Carlo in
READ MORE
","signed Claude Monet and dated 88 (lower right)
",oil on canvas,65.1 by 92.1cm,https://sothebys-com.brightspotcdn.com/dims4/default/6be2dd3/2147483647/strip/true/crop/2000x1412+0+0/resize/212x150!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F50%2Fe4%2F9b%2F72b7a2eb89b8c937eaea0305bb93a84c9381e570f68c1a15f8ca31690a%2F812l14006-7h7hw.jpg,"6,000,000",Found,"signed Claude Monet and dated 88 (lower right)
oil on canvas
65.1 by 92.1cm.
25 5/8 by 36 3/8 in.
Painted in 1888.",
Pierre-Auguste Renoir,Les deux soeurs,02.05.2007,"13,475,143",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Pierre-Auguste Renoir Les deux soeurs&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Pablo Picasso,Tête et main de femme,05.04.2005,"13,456,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Tête et main de femme&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
